"","set","model","feat_type","fold"
"368","set_75","WeightedEnsemble_L2","padel",2
"369","set_75","WeightedEnsemble_L2","AtomPairs2DCount",3
"370","set_75","WeightedEnsemble_L2","mordred",4
"371","set_76","WeightedEnsemble_L2","mordred",0
"372","set_76","WeightedEnsemble_L2","padel",1
"373","set_76","WeightedEnsemble_L2","AtomPairs2DCount",2
"374","set_76","WeightedEnsemble_L2","KlekotaRothCount",3
"375","set_76","WeightedEnsemble_L2","AtomPairs2DCount",4
"376","set_77","WeightedEnsemble_L2","PubChem",0
"377","set_77","WeightedEnsemble_L2","AtomPairs2D",1
"378","set_77","WeightedEnsemble_L2","padel",2
"379","set_77","WeightedEnsemble_L2","CDKgraphonly",3
"380","set_77","WeightedEnsemble_L2","MACCS",4
"381","set_78","WeightedEnsemble_L2","mordred",0
"382","set_78","WeightedEnsemble_L2","AtomPairs2DCount",1
"383","set_78","WeightedEnsemble_L2","PubChem",2
"384","set_78","WeightedEnsemble_L2","mordred",3
"385","set_78","WeightedEnsemble_L2","AtomPairs2DCount",4
"386","set_79","WeightedEnsemble_L2","padel",0
"387","set_79","WeightedEnsemble_L2","padel",1
"388","set_79","WeightedEnsemble_L2","SubstructureCount",2
"389","set_79","WeightedEnsemble_L2","KlekotaRothCount",3
"390","set_79","WeightedEnsemble_L2","padel",4
"391","set_8","WeightedEnsemble_L2","padel",0
"392","set_8","WeightedEnsemble_L2","AtomPairs2D",1
"393","set_8","WeightedEnsemble_L2","MACCS",2
"394","set_8","WeightedEnsemble_L2","padel",3
"395","set_8","WeightedEnsemble_L2","padel",4
"396","set_80","WeightedEnsemble_L2","mordred",0
"397","set_80","WeightedEnsemble_L2","padel",1
"398","set_80","WeightedEnsemble_L2","padel",2
"399","set_80","WeightedEnsemble_L2","KlekotaRoth",3
"400","set_80","WeightedEnsemble_L2","padel",4
"401","set_81","WeightedEnsemble_L2","mordred",0
"402","set_81","WeightedEnsemble_L2","AtomPairs2DCount",1
"403","set_81","WeightedEnsemble_L2","padel",2
"404","set_81","WeightedEnsemble_L2","EState",3
"405","set_81","WeightedEnsemble_L2","SubstructureCount",4
"406","set_82","WeightedEnsemble_L2","mordred",0
"407","set_82","WeightedEnsemble_L2","mordred",1
"408","set_82","WeightedEnsemble_L2","mordred",2
"409","set_82","WeightedEnsemble_L2","EState",3
"410","set_82","WeightedEnsemble_L2","SubstructureCount",4
"411","set_83","WeightedEnsemble_L2","AtomPairs2DCount",0
"412","set_83","WeightedEnsemble_L2","SubstructureCount",1
"413","set_83","WeightedEnsemble_L2","SubstructureCount",2
"414","set_83","WeightedEnsemble_L2","AtomPairs2DCount",3
"415","set_83","WeightedEnsemble_L2","AtomPairs2DCount",4
"416","set_84","WeightedEnsemble_L2","mordred",0
"417","set_84","WeightedEnsemble_L2","mordred",1
"418","set_84","WeightedEnsemble_L2","AtomPairs2DCount",2
"419","set_84","WeightedEnsemble_L2","mordred",3
"420","set_84","WeightedEnsemble_L2","AtomPairs2DCount",4
"421","set_85","WeightedEnsemble_L2","PubChem",0
"422","set_85","WeightedEnsemble_L2","AtomPairs2DCount",1
"423","set_85","WeightedEnsemble_L2","AtomPairs2D",2
"424","set_85","WeightedEnsemble_L2","CDKextended",3
"425","set_85","WeightedEnsemble_L2","mordred",4
"426","set_86","WeightedEnsemble_L2","mordred",0
"427","set_86","WeightedEnsemble_L2","mordred",1
"428","set_86","WeightedEnsemble_L2","AtomPairs2DCount",2
"429","set_86","WeightedEnsemble_L2","PubChem",3
"430","set_86","WeightedEnsemble_L2","SubstructureCount",4
"431","set_87","WeightedEnsemble_L2","AtomPairs2DCount",0
"432","set_87","WeightedEnsemble_L2","mordred",1
"433","set_87","WeightedEnsemble_L2","mordred",2
"434","set_87","WeightedEnsemble_L2","SubstructureCount",3
"435","set_87","WeightedEnsemble_L2","MACCS",4
"436","set_88","WeightedEnsemble_L2","AtomPairs2DCount",0
"437","set_88","WeightedEnsemble_L2","KlekotaRothCount",1
"438","set_88","WeightedEnsemble_L2","mordred",2
